Year,Property,Fed Equity Factor,State Equity Factor
2013,Pauldoe Redevelopment Phase II,0.85,0.35
2013,Farmington Forest,0.83,0.33
2013,Jackson Hills Apartments,0.83,0.32
2013,Autumn Trace Apartments,0.84,0.34
2013,Jennings Mill Commons,0.8599,0.25
2013,Hardwick Commons,0.859914,0.249975
2013,Broadview Cove,0.87,0.28
2013,Allen Road,0.8,0.27
2013,Groveland Terrace,0.82,0.3
2013,Toccoa Terrace Apartments,0.853,0.26
2013,The Groves Place,0.865,0.28
2013,Tobie Grant Senior,0.89,0.34
2013,HearthSide Tucker,0.89,0.34
2013,L'Emerald Royale,0.83,0.32
2013,Pointe North Senior Village,0.849,0.25
2013,"North Lake Senior Village, LP",0.85,0.263
2013,Davidson Senior Manor,0.85,0.25
2013,Meriwether Redevelopment Phase I,0.9,0.3
2013,Ashleigh Place Senior Apartments,0.895,0.28
2013,Waverly Terrace Senior Apartments,0.83,0.25
2013,Greystone Apartments,0.86,0.32
2013,Creekside Village,0.88,0.34
2013,Walnut Way Senior Residences,0.825,0.24
2013,Romana-Riley Lofts,0.85,0.25
2013,Renaissance Park (fka Liberty Park),0.85,0.25
2013,Willingham Village,0.89,0.3
2013,Abbington Trail Apartments,0.85,0.34
2013,Bethany Village,0.88,0.32
2013,Horizon Senior Village,0.85,0.2967
2013,Centennial Place Phase II,0.87,0.33
2013,Greene Pointe,0.85,0.34
2013,Boynton Village,0.89,0.32
2013,Mary-Leila Lofts,0.85,0.26
2013,Centennial Place Phase I,0.87,0.33
2014,Lakeview Gardens,0.851314,0.355
2014,Sumter Street Station,0.851314,0.36
2014,Romana-Riley Lofts,0.85,0.25
2014,Sawmill Landing,0.85,0.25
2014,The Meadows Apartments,0.88,0.3
2014,North Grove Apartments,0.9,0.39
2014,Hitch Phase I,0.84,0.35
2014,The Groves Place,0.85,0.35
2014,Mallard Lakes,0.85,0.27
2014,The Villas at Willowbrook,0.88,0.31
2014,Peyton Ridge,0.88,0.4
2014,Liberty Place,0.86,0.35
2014,Greenleaf Park,0.86,0.38
2014,Silver Lakes,0.88,0.355
2014,BTW-Chapman Phase II,0.91,0.41
2014,Pauldoe Redevelopment Phase III,0.93,0.41
2014,Campbell Place,0.8,0.25
2014,Water Tower Park Senior Village,0.88,0.32
2014,Mason Manor,0.8146185,0.38
2014,Rollingwood Place Apartments,0.85,0.35
2014,Wisteria Place Phase I,0.85,0.25
2014,Willowbrook Meadows,0.9,0.48
2014,Oliver Place,0.85,0.34
2014,HearthSide Evermore,0.92,0.35
2014,Bear Creek Village,0.85,0.26
2014,Clarkesville Station,0.89,0.38
2014,Newport Trace Apartments,0.815,0.25
2014,Highland Estates,0.85,0.25
2014,Peach Villas of Americus,0.81,0.25
2014,Summer Breeze Park,0.85,0.29
2014,The Overlook at Walkers Bend,0.82,0.25
2014,Davidson Senior Manor,0.85,0.25
2014,Southwestern Estates,0.8,0.25
2014,West Haven Senior Village II,0.85,0.25
2014,Grant Street Development,0.96,0.35
2014,15th Street Development Phase 1,0.9,0.32
2014,Sister's Court,0.81,0.35
2014,Hunt School Village,0.85,0.35
2014,Willingham Village II,0.85,0.35
2014,Southfork Apartments,0.89,0.39
2014,HighPointe Estates,0.87,0.39
2014,Centennial Place Phase II,0.92,0.35
2014,Veranda at Groveway,0.92,0.35
2014,Wellington Way,0.85,0.35
2014,Forest View Apartments,0.8,0.33
2014,Potemkin Senior Village of Warner Robins II,0.85,0.25
2014,"Sterling Heights, LP",0.85,0.25
2014,Oscar Thomie Rental Phase I,0.834,0.33
2014,Freedoms Path at Augusta,0.8,0.28
2014,Retreat at Mills Creek,0.92,0.35
2014,Macon Gardens,0.87,0.38
2014,A.L. Miller Village,0.84,0.25
2014,Pointe North Village Phase II,0.851,0.25
2014,Park Senior Village,0.846,0.25
2014,Trinity Walk Phase I,0.94049084,0.32
2014,South Rome Apartments,0.95,0.37
2014,Willow Creek Apartments,0.85,0.4
2015,Cloverleaf Apartments,0.9,0.45
2015,Telfair Arms,0.91,0.46
2015,Clarkesville Station,0.94,0.44
2015,Allen Park,0.94,0.44
2015,The Vinings at Oxford,0.935,0.47
2015,The Grove at Oakmont,0.94,0.47
2015,The Pines at Westdale,0.95,0.47
2015,The Estates at Kenton,0.93,0.47
2015,The Cove at York,0.95,0.47
2015,Lakeview Gardens,0.91,0.4
2015,Foxworth Forest,0.95,0.42
2015,Manor at Indian Creek,0.94,0.42
2015,Gateway Capitol View,0.94,0.42
2015,Hitch Phase II,0.88,0.41
2015,Breckinridge Oaks,0.97,0.49
2015,Fellwood Manor,0.93,0.42
2015,Centennial Place Phase III,0.96,0.46
2015,Romana-Riley Lofts,0.85,0.3
2015,The Village at Winding Road II,0.85,0.31
2015,Stone Ridge Apartments,0.9,0.42
2015,Village at Grove Park,0.9,0.42
2015,Champions Creek,0.92,0.42
2015,Tarrow Greene,0.92,0.48
2015,Mallalieu Pointe,0.95,0.5
2015,The Meadows,0.94,0.45
2015,Arbor Trace Apartments Phase II,0.92,0.42
2015,Waring III Apartments,0.92,0.425
2015,Granite Crossing,0.9199,0.349965
2015,Hardin Terrace,0.8998,0.4
2015,Townview Manor,0.85,0.3
2015,Griner Gardens,0.85,0.3
2015,The Residences at West Haven,0.85,0.3
2015,Market Station Apartments,0.88,0.45
2015,Ashton Crossing,0.89,0.45
2015,Willow Creek Apartments,0.911,0.4
2015,Chandler Trace,0.87,0.36
2015,Tindall Seniors Towers,0.92,0.48
2015,Emilia Place,0.85,0.3705
2015,Paige Landing,0.939,0.49
2015,Columbia Avondale Senior Residences,0.98,0.5
2015,Juniper & 10th High Rise,0.98,0.5
2015,Prominence Senior Village,0.876,0.3
2015,Pointe North Village Phase II,0.895,0.3
2015,Grove Senior Village,0.9,0.305
2015,15th Street Development Phase 1,0.95,0.4
2015,240 Atlanta Street Development Phase 1,0.95,0.4
2015,Antioch Summit,0.96,0.45
2015,Peyton Ridge,0.95,0.42
2015,The Village of Ben Hill,0.85,0.3
2015,The Overlook at Walkers Bend,0.85,0.3
2015,Red Oak Village,0.87,0.31
2015,Live Oak Villas Phase 1,0.89,0.31
2015,Meadowlark Place,0.86,0.3674
2015,Abbie Lane Park,0.86,0.36
2015,South Rome Apartments,0.96,0.45
2015,Lakeview Apartments,1,0.5
2015,Lakeside Creek Apartments,0.9,0.45
2015,Villa North Apartments,0.94,0.32
2015,Oaks at North In-Town Rental Phase I,0.9,0.45
2015,Hutchinson Crossing of Adel,0.85,0.3
2015,McRae-Helena Estates,0.85,0.3
2015,Trinity Walk Phase II,0.97,0.47
2015,Wellington Way,0.94,0.415
2015,White Circle Phase 1,0.95,0.4
2015,Abbington Ridge,0.92,0.39
2015,Abbington at Haw Creek,0.94,0.39
2015,Highland Trace,0.92,0.45
2015,Bear Creek Village,0.85,0.35
2015,Butler Street Y Lofts,0.94,0.39
2015,LaGrange MF,0.95,0.45
2015,Meriwether Redevelopment Phase II,0.92,0.45
2015,Phoenix House,0.95,0.45
2015,City Lights II,0.95,0.45
2015,Wilshire Place Senior Apartments,0.94,0.45
2015,Senior Residences at Mercy Park,0.97,0.365
2016,HACG RAD Project Warren Williams-Rivers,1,0.5000501
2016,The Residences at Zebulon,0.97,0.47
2016,The Residences at Laurel Island,0.96,0.46
2016,Mountain View Apartments,0.9,0.42
2016,Manor at Indian Creek II,0.95,0.48
2016,Campbell Ridge,0.95,0.48
2016,Nelms House,0.99,0.5
2016,The Village at Winding Road II,0.85,0.31
2016,The Cottages at Coventry,0.95,0.5
2016,The Preserve at Newport,0.95,0.52
2016,Champions Creek,0.91,0.42
2016,Ridgecrest Apartments,1.07,0.45
2016,Romana-Riley Lofts,0.85,0.31
2016,Brittany Woods and Park Chase,1.02,0.52
2016,Brittany Woods and Park Chase,1.02,0.52
2016,White Circle Development Phase 2,0.92,0.45
2016,The Village of Ben Hill,0.85,0.31
2016,The Overlook at Walkers Bend,0.85,0.31
2016,Scott Boulevard Senior Residences,0.98,0.5
2016,Madison Heights,1,0.45
2016,Taylor Village,1,0.45
2016,Pioneer Place,0.9,0.4
2016,The Breakers,0.86,0.39
2016,The Gardens,0.91,0.43
2016,Redland Creek Villas,0.9598,0.47
2016,Tupelo Ridge,0.9598,0.47
2016,Kingsland Village,0.98,0.47
2016,Macon North Apartments,1,0.48
2016,The Village on Park,0.85,0.3
2016,Wood Meadow Townhomes,0.9,0.31
2016,Pinewood Village II Apartments,0.9,0.3
2016,Oxford Village Apartments,0.9,0.345
2016,240 Atlanta Street Development Phase 2,0.95,0.45
2016,15th Street Development Phase 2,0.95,0.45
2016,Adair Court,1.07,0.53
2016,Tarrow Greene,1,0.58
2016,Oaks at North Intown Rental Phase I,1.02,0.55
2016,Oscar Thomie Apartments Phase I,1.02,0.55
2016,Freedom Heights,0.93,0.51
2016,Ashton Cove,0.93,0.51
2016,Peaks of Cornelia,0.89,0.38
2016,Peaks of Oakwood,0.94,0.39
2016,Peaks of Waycross,0.89,0.38
2016,Tindall Fields I,1,0.5
2016,Lakeview Senior Gardens,0.845,0.3
2016,Pine Trails,0.91,0.41
2016,Ashley Scholars Landing I,0.95,0.45
2016,Towne Park Commons,0.85,0.31
2016,Heritage Pointe,0.85,0.32
2016,"Mooney, Henry Way & Georgia Wallace",0.89,0.34
2016,Lovejoy Place,0.85,0.32
2016,Wisteria Place of Mableton,0.9,0.31
2016,HearthSide Lafayette,1.02,0.58
2016,KD International Village for Seniors,1,0.38
2016,Northlake Senior Apartments,0.97,0.41
2016,Trinity Walk Phase III,0.98,0.48
2016,King's Corner Apartments,1.05,0.47
2016,Center Oaks,0.95,0.44
2016,Acworth Commons,0.95,0.45
2016,Abbington Trail - Phase II,0.93,0.41
2016,Abbington Perimeter,0.93,0.42
2016,Lakeview Apartments,1.06,0.54
2016,"St. Andrew's Court, LP",0.85,0.35
2016,Villages at Dresden,0.99,0.5
2016,Creekside at Adamsville Place,1.01,0.48
2016,Sycamore Trail Apartments,0.95,0.45
2016,Meriwether Redevelopment III,0.94,0.45
2016,Dogwood Square,0.95,0.48
2016,Royal Point Apartments,1,0.5
2016,Stone Ridge Apartments,0.96,0.5
2016,Sawgrass Cove Apartments,1,0.45
2016,Phoenix Landing,1,0.53
2016,The Grove Senior Apartments,0.95,0.45
2016,Evermore Senior Village,0.9,0.33
2016,Grove Senior Village,0.9,0.33
2016,Prominence Senior Village,0.9,0.33
2016,Villages of Castleberry Hill Phase I,1.07,0.52
2016,Dogwood Park Apartments,0.93,0.46
2016,Centennial Place Phase IV,0.96,0.46
2016,The Pines Apartments,1,0.45
2017,Ebenezer Creek Crossing,0.81,0.35
2017,The Overlook at Walkers Bend,0.81,0.35
2017,Magnolia Ridge,0.8,0.35
2017,Grand Oak Apartments,0.88,0.53
2017,240 Atlanta Street Development Phase 3,0.9,0.5
2017,15th Street Development Phase 3,0.88,0.47
2017,The Breakers at Trion,0.82,0.4
2017,The Village at Chickamauga II,0.8,0.4
2017,Havenwood Columbus,0.8,0.37
2017,Havenwood Cartersville,0.8,0.355
2017,MainStreet Walton Mill,0.84,0.5
2017,The Woodlands,0.86,0.5
2017,Vallihi Apartments,0.85,0.5
2017,Herndon Homes Seniors,0.9,0.53
2017,Chandler Trace,0.84,0.36
2017,Lavonia Square,0.875,0.525
2017,Berwick Point Apartments,0.85,0.5
2017,Sparrow Pointe,0.8,0.35
2017,Enclave at Depot Park,0.9,0.55
2018,National Church Residences at Ash Branch,0.85,0.52
2018,The Legacy at Durham,0.88,0.55
2018,The Grove at Woodford,0.85,0.54
2018,Americus Garden Apartments,0.86,0.39
2018,Maple Square II Apartments,0.86,0.39
2018,Anthem,0.87,0.53
2018,55 Milton,0.89,0.54
2018,Mill at Stone Valley,0.88,0.43
2018,1912 Bunn Building,0.8,0.35
2018,Perry Place,0.8,0.35
2018,Ebenezer Creek Crossing,0.82,0.35
2018,The Residences at Newnan Crossing,0.87,0.39
2018,Tindall Fields III,0.85,0.55
2018,Broadmoor Court,0.84,0.4
2018,Wild Pines Apartments,0.87,0.51
2018,Grove Park Gardens,0.9,0.54
2018,Heritage Village at West Lake,0.88,0.54
2018,Wimberly Manor,0,0
2018,Havenwood Grove Senior,0.82,0.35
2018,Havenwood Elberton Senior,0.81,0.36
2018,Grayling Place,0.88,0.5
2018,Tupelo Creek at Town Center,0.84,0.48
2018,Brunswick Commons,0.92,0.57
2018,Timberfalls Apartments,0.85,0.45
2018,Memorial Drive Apartments,0.85,0.53
2018,Evergreen Village Apartments,0.85,0.53
2018,The Phoenix,0.85,0.55
2018,Evergreen Crossing,0.81,0.35
2018,Bear Creek Village,0.85,0.35
2018,Sparrow Pointe at Forest Hill,0.84,0.35
2018,Candler Senior Village,0.85,0.35
2018,Hillcrest Apartments,0.85,0.45
2018,The Village at Chickamauga II,0.8,0.4
2018,Waynesboro Senior Homes II (aka Waynesborough Academy II),0.85,0.35
2018,Peaks of Cartersville,0.8975,0.39
2018,Wisteria Place of Hamilton Mill,0.89,0.39
2018,Myrtle Terraces Phase 2,0.89,0.39
2018,Emilia Place,0.85,0.5
2018,Pecan Chase II,0.85,0.55
2018,Town Center Heights 2,0.92,0.5
2018,Pointe North Village III,0.85,0.37
2018,Vinings Senior Village,0.88,0.39
2018,Cartmell Senior Village,0.82,0.35
2018,Perkins Field,0.85,0.5
2018,Altoview Terrace,0.84,0.56
2018,Abbington on Cheshire Bridge,0.85,0.53
2018,Abbington Ridge,0.82,0.52
2018,Savannah Gardens Phase VI,0.92,0.56
2018,The Gardens Blairsville,0.84,0.49
2018,Highlands at Kayne Boulevard,0.84,0.5
2018,Mainstreet Jefferson,0.85,0.5425
2018,Edgewood Center II,0.8,0.55
2018,Oaks at North Intown Rental Phase I,0.9,0.54
2018,WR Redevelopment Phase II,0.9,0.52
2018,Hollie Park,0.85,0.5
2018,Creekwood Estates,0.875,0.54
2018,The Ashbury,0.86,0.545
2018,Dogwood Trail Apartments,0.85,0.53
2018,Chelsea Park Townhomes,0.89,0.52
2018,Grove Park Townhomes,0.89,0.52
2019,Legacy Villas,0.81,0.35
2019,True Light Haven,0.95,0.55
2019,The Residences at Newnan Crossing,0.83,0.36
2019,Heritage Village at West Lake,0.88,0.54
2019,Savannah Gardens Phase VI,0.91,0.64
2019,Harper Woods,0.89,0.5
2019,24 East,0.88,0.56
2019,The Grove at Woodford,0.88,0.54
2019,The Flats at Aberdeen,0.88,0.56
2019,Revere,0.87,0.51
2019,Anthem II,0.87,0.51
2019,Symphony,0.87,0.51
2019,Haddock Landing,0.82,0.35
2019,Live Oak Landing II,0.85,0.39
2019,Sparrow Pointe,0.85,0.39
2019,Kings Mill Landings,0.94,0.54
2019,Northlake Commons,0.94,0.54
2019,The Village on 5th,0.85,0.39
2019,Oak Landing,0.82,0.35
2019,The Residences at Newnan Crossing,0.85,0.39
2019,Sutton Terrace,0.89,0.4
2019,Westover Senior Village,0.83,0.36
2019,Chateau Hill Apartments,0.85,0.49
2019,Waring Apartments,0.85,0.45
2019,Stony Ridge II Apartments,0.85,0.45
2019,Bellview Oaks Apartments,0.85,0.49
2019,Crow Valley Heights,0.86,0.56
2019,Northside Senior Village,0.84,0.52
2019,Capital Landing,0.85,0.38
2019,Sandy Run Court,0.85,0.36
2019,Idora Park,0.84,0.44
2019,The Village at Chickamauga II,0.84,0.43
2019,Woodlawn Senior Village,0.85,0.47
2019,Chattahoochee Point Apartments,0.89,0.56
2019,Peaks of Clayton,0.88,0.39
2019,Peaks of Dawsonville,0.89,0.45
2019,Dogwood Trail Apartments II,0.84,0.54
2019,Havenwood Gardens,0.85,0.35
2019,Flint Ridge,0.85,0.35
2019,Tenley Commons,0.89,0.525
2019,River Pointe II Phase II,0.87,0.54
2019,Brennan Place,0.85,0.39
2019,Mill Village,0.93,0.56
2019,Jesup Commons,0.92,0.58
2019,Kings Bay Gardens,0.92,0.58
2019,Creekside Apartments,0.84,0.47
2019,Northside Heights,0.85,0.5
2019,Flats at Sam Lane,0.85,0.52
2019,Woodstone Apartments II,0.86,0.54
2019,Elm Street Apartments (fka Euharlee & Elm Street Schools),0.9,0.5
2019,Walton Harbor,0.95,0.55
2019,Legacy at Walton Trail,0.95,0.55
2019,Perry Place,0.85,0.39
2019,The Cove at Cartersville,0.85,0.48
2019,Thrive Sweet Auburn,0.93,0.53
2019,Hearthside Smyrna,0.86,0.5
2019,Chelsea Park Townhomes,0.87,0.51
2019,Canaan Crossing,0.83,0.465
2019,Southern Pointe,0.85,0.49
2019,Dulles Park II,0.85,0.365
2019,Sterling Heights,0.86,0.39
2019,Pineview Trace,0.85,0.35
2019,Haven at South Atlanta,0.88,0.55
2019,WR Redevelopment Phase II,0.88,0.55
2019,Wimberly Manor,0.84,0.5
2019,Wisteria Place of Albany,0.85,0.39
2019,Wisteria of Chatsworth,0.85,0.39
2019,Abbington at Ormewood Park,0.84,0.47
2019,Abbington Sound,0.83,0.53
2019,Veranda at Assembly,0.88,0.51
2019,Village at Paradise,0.85,0.54
2019,Redwood Trails Apartments,0.85,0.54
2019,Arbours at Kingsland,0.85,0.52
2019,Haddock Landing,0.84,0.35
2019,Perry Place,0.85,0.35
2019,Kingsbrook Apartments,0.85,0.55
2019,Grove Park Apartments,0.88,0.53
2019,Abbington Sound,0.8,0.44
2019,Kings Bay Gardens,0.92,0.58
2019,Havenwood Springs,0.91,0.43
2019,Flint Ridge,0.85,0.35
2019,Kings Mill Landings CDBG-DR,0.93,0.53
2020,Legacy at Walton Harbor Phase 2,0.94,0.55
2020,Covington Square,0.88,0.55
2020,"Dogwood Trail Apartments II, LP",0.84,0.54
2020,Idora Park,0.86,0.5
2020,Ella Mae Gardens,0.87,0.51
2020,Bray Senior Village,0.87,0.51
2020,Chateau Hill Apartments,0.85,0.5
2020,Adel Senior Living Apartments,0.85,0.5
2020,Stony Ridge II Apartments,0.85,0.5
2020,Warm Springs Senior Village,0.88,0.5
2020,Central City Apartments,0.88,0.5
2020,Asbury Pointe,0.94,0.53
2020,Everton Commons,0.94,0.53
2020,Patriot Park,0.83,0.39
2020,Townes at Clarkston Centre,0.84,0.47
2020,Residence at Sky Harbor,0.84,0.47
2020,Manor Place,0.82,0.45
2020,Millen Terraces,0.85,0.34
2020,Peaks of Fort Oglethorpe,0.88,0.44
2020,Peaks of Jasper,0.83,0.39
2020,Peaks of Dahlonega,0.85,0.39
2020,Kensington Pointe,0.9,0.58
2020,River Pointe II Phase II,0.88,0.57
2020,Diamond College Park,0.85,0.52
2020,Residences at Westview,0.88,0.55
2020,West Point Village Phase I,0.87,0.57
2020,Wisteria Place of Albany,0.89,0.41
2020,Blackburne Greene,0.87,0.47
2020,The Village of Ben Hill II,0.82,0.37
2020,Sparrow Pointe,0.84,0.39
2020,Wellington Way,0.8599,0.5099
2020,South Meadows Apartments,0.91,0.58
2020,1055 Arden,0.85,0.5
2020,Village at Paradise,0.85,0.52
2020,Deermont,0.85,0.5
2020,The Wilshire,0.85,0.5
2020,Forest Station,0.84,0.39
2020,Cottages at Oconee Village,0.83,0.39
2020,South Tifton Development,0.85,0.52
2020,Haven at Liberty,0.86,0.5
2020,South Town Square,0.88,0.58
2020,Freedom's Path at Dublin,0.8,0.45
2020,Hawthorne Commons,0.86,0.48
2020,North Downtown Athens Phase I,0.96,0.58
2020,Crossvine Greene,0.85,0.47
2020,Magnolia Villas,0.83,0.36
2020,Pineland Preserve,0.83,0.36
2020,Brewer Lake Village,0.923,0.52
2020,Jesup Commons,0.9,0.55
2020,Twin Oaks Commons,0.88,0.53
2020,Ventnor Park of Roberta,0.86,0.39
2020,The Woodlands at Crow Valley,0.85,0.56
2020,Windover Manor Apartments,0.83,0.53
2020,Evans Commons,0.9,0.55
2020,Ashley Midtown I,0.88,0.52
2020,Ashley Scholars Landing II,0.88,0.52
2020,Gillespie Gardens,0.89,0.52
2020,Flats at Stone Hogan I,0.9,0.53
2020,Dulles Park II,0.84,0.37
2020,Jasper Terraces,0.89,0.41
2020,Duralee Terraces I,0.89,0.41
2020,HearthSide Jonesboro,0.88,0.58
2020,Havenwood Nashville,0.85,0.34
2020,Stonegate Manor Apartments,0.84,0.53
2020,Highlands at Kayne Boulevard Phase II,0.86,0.52
2020,Brennan Place,0.815,0.39
2020,Boxwood Heights,0.815,0.39
2021,River Pointe II Phase II,0.88,0.57
2021,Covington Square,0.88,0.5
2021,Peaks of Dahlonega,0.89,0.44
2021,The Cove at Camborne,0.84,0.49
2021,Ashton Place,0.85,0.53
2021,Wagon Works,0.9,0.6
2021,Decatur East Phase II,0.91,0.54
2021,Hearthside Riverdale,0.88,0.58
2021,East Orchard Family,0.86,0.46
2021,Alexis Parc,0.84,0.5
2021,Anthem III,0.84,0.5
2021,West Pointe Senior Village,0.88,0.4
2021,Kendrick Place,0.86,0.51
2021,Dunbar Court,0.85,0.39
2021,The Peaks at Turnberry,0.8,0.4173
2021,The Vinings at Newport,0.84,0.5097
2021,Magnolia Villas,0.85,0.35
2021,Roswell Redevelopment Phase I,0.95,0.6
2021,Hawthorne Commons,0.83,0.45
2021,East Lake Highrise Preservation,0.95,0.6
2021,Stewart Mill Senior Lofts,0.86,0.55
2021,Bryant's Landing,0.85,0.39
2021,Overlook at Avondale,0.87,0.55
2021,1700 Drayton St,0.95,0.6
2021,Westchester Village,0.85,0.35
2021,Havenwood Gardens II,0.89,0.42
2021,Brewer Lake Village,0.9,0.52
2021,Hearthside Union City,0.87,0.58
2021,Greenwood Landings Apartments,0.85,0.52
2021,Capstone at Murphy Mill Apartments,0.85,0.35
2021,Terraces at Ellenwood,0.9,0.52
2021,Asbury Pointe,0.9,0.52
2021,Juniper Senior Village,0.85,0.397
2021,Everton Commons,0.92,0.52
2021,Perry Ridge,0.85,0.39
2021,Terry Creek Landing,0.85,0.39
2021,Franklin Crossing,0.84,0.39
2021,Brennan Place,0.85,0.39
2021,Berwick Senior,0.88,0.55
2021,Hazel Park,0.87,0.55
2021,Hunters Haven,0.85,0.5
2021,Bray Senior Village,0.85,0.45
2021,Cypress Landing,0.85,0.37
2021,Osprey Landings,0.86,0.53
2021,141 East Decatur Station,0.86,0.55
2021,Clement Belle Farm,0.84,0.54
2021,Meadow Creek Apartments,0.85,0.5
2021,Abbington at Galleria Mall II,0.83,0.53
2021,Quail Run,0.85,0.385
2021,Sparrow Pointe,0.85,0.39
2021,Hamilton Hills,0.86,0.55
2021,Union City Senior,0.92,0.56
2021,Dogwood Trail Apartments II,0.84,0.53
2021,Peake Point,0.85,0.39
2021,Union Station Apartments,0.85,0.5
2021,Walton Trail Phase 2,0.94,0.55
2021,Waterford Apartments,0.86,0.5
2021,Abbington Hall,0.8,0.47
2021,Sugar Creek Apartments,0.86,0.5
2021,Garden City Senior Village,0.9,0.425
2021,Clairmont Family,0.87,0.48
2021,John Graham Homes (Altoview Phase II),0.8,0.5
2021,The Landings,0.857,0.35
2021,Gateway Village Valley Manor,0.8,0.45
2021,Waters Walk,0.85,0.4
2021,Tanner Place,0.88,0.55
2021,West Point Village Phase II,0.85,0.58
2022,Kelleytown Senior,0.885,0.44
2022,Crescet Senior,0.9,0.52
2022,Pointe River,0.9,0.52
2022,Mason Grove,0.85,0.53
2022,Haddock Landing,0.85,0.37
2022,Bryant's Landing,0.85,0.37
2022,Cypress Reserve,0.85,0.39
2022,11th Ave. Senior Estates,0.85,0.39
2022,Magnolia Villas,0.85,0.37
2022,The Vinings at Newport,0.84,0.52
2022,The Forest at Kenton,0.82,0.52
2022,The Cove at Inverness,0.82,0.52
2022,3109 Anvilblock,0.85,0.53
2022,Flats at Lake View,0.85,0.53
2022,1700 Drayton St,0.93,0.6
2022,Union Station Apartments,0.85,0.49
2022,Village at Legacy Phase 1,0.93,0.56
2022,Cedarbrook Commons,0.85,0.5
2022,Anthem III,0.86,0.53
2022,BTW South Phase I,0.93,0.57
2022,Carrington Town Center,0.83,0.52
2022,Creekstone Apartments,0.85,0.53
2022,Carmichael Commons,0.89,0.53
2022,Midtown Lofts,0.83,0.48
2022,Kendrick Place,0.9,0.53
2022,Arbours at Town Branch,0.885,0.545
2022,The Oasis Apartments,0.89,0.59
2022,Village at Paradise,0.86,0.56
2022,Tanner Place,0.91,0.59
2022,Garden City Senior Village,0.89,0.45
2022,Juniper Village,0.85,0.39
2022,Dogwood Trail Apartments II,0.85,0.55
2022,Harding Senior Lofts,0.88,0.55
2022,Mountain View Apartments,0.85,0.39
2022,Gibson Park,0.85,0.55
2022,Covington Square,0.85,0.5
2022,Villa Rica Senior,0.9,0.55
2022,Flats at Jackson,0.88,0.55
2022,West Pointe Senior Village,0.84,0.39
2022,"John Graham Homes, Phase 1",0.86,0.56
2022,Spring Ridge,0.85,0.37
2022,Dogwood Trace,0.85,0.37
2022,Havenwood Gardens III,0.845,0.37
2022,Chattooga Crossing,0.86,0.51
2022,MainStreet Auburn,0.93,0.6
2022,Harvest Station,0.88,0.56
2022,Heritage Place,0.95,0.6
2022,Waterford Apartments,0.85,0.53
2022,Clairmont Senior,0.88,0.5
2022,Andover Place,0.9,0.52
2022,Bon Air,0.92,0.58
2022,Bon Air,0.92,0.58
2022,Fair Oaks Lane Apartments,0.839916,0.54
2022,Magnolia Place,0.85,0.45
2022,Abbington at Midway,0.8,0.49
2022,Richmond Summit,0.92,0.58
2022,Richmond Summit,0.92,0.58
2022,Walton Crossing Phase 1,0.94,0.55
2022,Cave Spring Townhomes,0.89,0.57
2022,Parc at Solomon,0.855,0.555
2022,Furlow New Jester Redevelopment,0.91,0.59
